Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0001-1.tif (RGB),P21-42 V2,red channel puncta,2815,35.26642984,98.70301954,170.6149201,129.5309469,green channel puncta,5238,9.981099656,88.08858343,151.7800687,115.0497405,blue channel puncta,-,-,-,-,-,colocalized puncta,1466,49.00204638,92.94918145,173.0361528,127.362844
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0001-2.tif (RGB),P21-42 V2,red channel puncta,2562,28.95042935,107.667057,174.3220141,136.6930965,green channel puncta,4752,9.129208754,87.34280303,149.9229798,113.6393483,blue channel puncta,-,-,-,-,-,colocalized puncta,1029,34.1909621,97.08551992,174.4246842,130.9538832
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0001-3.tif (RGB),P21-42 V2,red channel puncta,2426,28.7852432,107.5692498,174.3615004,136.7101381,green channel puncta,4561,8.903968428,86.21289191,146.0521815,111.0061498,blue channel puncta,-,-,-,-,-,colocalized puncta,963,35.20768432,96.31931464,171.3857736,128.7262248
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0001-4.tif (RGB),P21-42 V2,red channel puncta,2473,32.55034371,98.18762636,166.665184,126.6110171,green channel puncta,3978,8.480140774,88.00276521,144.0012569,111.1276949,blue channel puncta,-,-,-,-,-,colocalized puncta,963,41.31100727,92.60695742,167.4974039,123.8111406
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0001-5.tif (RGB),P21-42 V2,red channel puncta,2620,40.73969466,79.63167939,151.1225191,106.8993884,green channel puncta,4282,9.396310135,81.07239608,131.1595049,101.2266196,blue channel puncta,-,-,-,-,-,colocalized puncta,1345,57.31524164,79.82527881,158.0345725,109.6114835
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0002-1.tif (RGB),P21-42 V2,red channel puncta,2279,27.91443616,116.983326,182.7810443,147.6044357,green channel puncta,3589,8.418500975,108.257732,171.3379772,137.6770042,blue channel puncta,-,-,-,-,-,colocalized puncta,781,32.84314981,112.1901408,184.8988476,147.3733866
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0002-2.tif (RGB),P21-42 V2,red channel puncta,2144,27.47621269,115.9874067,180.9001866,145.5546739,green channel puncta,4334,9.10383018,95.86963544,159.4536225,123.7729489,blue channel puncta,-,-,-,-,-,colocalized puncta,831,29.47111913,105.4338147,178.55716,139.0059346
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0002-3.tif (RGB),P21-42 V2,red channel puncta,2678,39.64563107,85.12173264,157.1923077,113.9457469,green channel puncta,4945,10.14175935,89.99393327,151.0056623,115.3844449,blue channel puncta,-,-,-,-,-,colocalized puncta,1449,55.74292616,86.78640442,168.9972395,120.0168047
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0002-4.tif (RGB),P21-42 V2,red channel puncta,2375,35.42273684,93.07242105,163.8888421,122.3594844,green channel puncta,4119,9.432872056,101.3709638,159.997815,126.6217903,blue channel puncta,-,-,-,-,-,colocalized puncta,1095,48.76027397,96.49178082,175.0287671,129.6611522
20230913_GB2 CONTROL-P21-ROI-P42-VG2647-PSD95488-L4-V1_0002-5.tif (RGB),P21-42 V2,red channel puncta,2329,34.36324603,88.8746243,159.9008158,117.2273349,green channel puncta,3289,8.81270903,111.6980845,165.8346002,135.5675393,blue channel puncta,-,-,-,-,-,colocalized puncta,862,50.78538283,99.58990719,177.1009281,132.1345964
