Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0001-1.tif (RGB),P42-65 V2,red channel puncta,2744,22.76858601,90.22995627,147.654519,112.6872117,green channel puncta,4103,9.186692664,61.14989032,101.8208628,77.11728367,blue channel puncta,-,-,-,-,-,colocalized puncta,955,28.18010471,75.38795812,139.7717277,99.69139452
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0001-2.tif (RGB),P42-65 V2,red channel puncta,2293,19.17880506,99.46402093,154.0444832,121.2802682,green channel puncta,2503,7.56971634,76.13863364,118.9544547,93.59254522,blue channel puncta,-,-,-,-,-,colocalized puncta,426,18.8814554,88.01056338,148.6232394,112.5148305
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0001-3.tif (RGB),P42-65 V2,red channel puncta,2683,22.23779351,88.00782706,143.1628774,109.3734934,green channel puncta,3038,8.712639895,77.41079658,118.5269914,93.88504852,blue channel puncta,-,-,-,-,-,colocalized puncta,663,24.34162896,82.31221719,141.6289593,104.9012287
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0001-4.tif (RGB),P42-65 V2,red channel puncta,2536,23.4238959,83.76695584,138.0492902,104.5285015,green channel puncta,3692,11.22589382,80.75460455,122.9062839,97.13447366,blue channel puncta,-,-,-,-,-,colocalized puncta,873,30.37457045,81.78350515,144.0738832,104.8272678
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0001-5.tif (RGB),P42-65 V2,red channel puncta,2461,23.56562373,73.57537586,126.0373832,93.21935238,green channel puncta,2792,9.815186246,98.07342407,148.4469914,118.7885684,blue channel puncta,-,-,-,-,-,colocalized puncta,676,28.74408284,85.26775148,151.2766272,109.9898248
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0002-1.tif (RGB),P42-65 V2,red channel puncta,2411,17.07922024,69.31978432,121.0506014,89.32675116,green channel puncta,4016,9.360806773,73.9688745,124.3381474,94.14821584,blue channel puncta,-,-,-,-,-,colocalized puncta,835,21.22335329,71.3257485,137.7179641,96.5346692
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0002-2.tif (RGB),P42-65 V2,red channel puncta,2263,17.01855943,66.28767123,116.146266,85.44162905,green channel puncta,3741,9.269446672,76.97166533,126.149158,96.70690798,blue channel puncta,-,-,-,-,-,colocalized puncta,746,20.06032172,71.11930295,135.5301609,95.54787765
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0002-3.tif (RGB),P42-65 V2,red channel puncta,2165,16.37736721,65.0669746,111.9150115,83.02804106,green channel puncta,3638,9.399395272,82.95107202,131.3081363,102.5376782,blue channel puncta,-,-,-,-,-,colocalized puncta,637,21.11852433,73.6522763,136.467033,97.4590294
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0002-4.tif (RGB),P42-65 V2,red channel puncta,1981,16.53811206,63.94396769,108.8950025,80.94169597,green channel puncta,3850,10.42961039,89.85298701,138.2963636,109.5402816,blue channel puncta,-,-,-,-,-,colocalized puncta,660,22.20833333,76.24015152,137.0840909,99.13051764
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0002-5.tif (RGB),P42-65 V2,red channel puncta,2221,19.46960828,55.48536695,97.68302566,71.12418425,green channel puncta,4275,12.49684211,98.44374269,148.1702924,119.0133324,blue channel puncta,-,-,-,-,-,colocalized puncta,877,36.27080958,76.54503991,137.4703535,99.40470938
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0003-1.tif (RGB),P42-65 V2,red channel puncta,2416,24.88865894,97.68625828,162.825745,124.3916659,green channel puncta,4009,8.1653779,87.46121227,145.8540783,111.9923533,blue channel puncta,-,-,-,-,-,colocalized puncta,963,29.78764278,91.92731049,167.5020768,123.4964344
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0003-2.tif (RGB),P42-65 V2,red channel puncta,2424,25.93523102,92.58044554,156.3292079,118.2497507,green channel puncta,4128,8.24249031,87.38032946,144.2114826,111.1510469,blue channel puncta,-,-,-,-,-,colocalized puncta,1008,32.74404762,89.40079365,164.2440476,119.6802387
20230920_GB2 CONTROL-P42-ROI-P65-VG2647-PSD95488-L4-V1_0003-3.tif (RGB),P42-65 V2,red channel puncta,2225,25.97168539,92.3388764,155.105618,117.4624978,green channel puncta,3379,7.994377035,99.89464339,155.4205386,123.6245924,blue channel puncta,-,-,-,-,-,colocalized puncta,755,32.55364238,95.46688742,169.1370861,125.971294
