Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0001-1.tif (RGB),P42-65 V1,red channel puncta,2846,21.72944483,50.80850316,76.61033029,60.08847127,green channel puncta,4701,11.52861093,72.98000425,117.4097001,90.27918014,blue channel puncta,-,-,-,-,-,colocalized puncta,1079,98.70250232,61.35495829,112.4017609,78.34684301
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0001-2.tif (RGB),P42-65 V1,red channel puncta,1931,17.89539099,60.0709477,87.1185914,70.17779267,green channel puncta,3579,9.773959206,77.23749651,120.8228555,94.66391974,blue channel puncta,-,-,-,-,-,colocalized puncta,524,62.40935115,68.04389313,119.8683206,85.83126819
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0001-3.tif (RGB),P42-65 V1,red channel puncta,2524,21.07884311,59.91561014,88.31893819,70.22067247,green channel puncta,3301,9.096637383,80.42078158,122.3123296,97.37002637,blue channel puncta,-,-,-,-,-,colocalized puncta,637,71.5133438,69.58791209,120.4984301,87.03368022
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0001-4.tif (RGB),P42-65 V1,red channel puncta,2940,22.05408163,66.01258503,96.69421769,77.19807925,green channel puncta,3862,9.92465044,77.06343863,118.8788193,93.79602282,blue channel puncta,-,-,-,-,-,colocalized puncta,922,79.0808026,71.07592191,122.6675705,88.93369765
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0001-5.tif (RGB),P42-65 V1,red channel puncta,2075,18.8139759,87.46843373,123.8751807,101.4067813,green channel puncta,4138,11.73900435,74.85210246,122.2484292,93.65927206,blue channel puncta,-,-,-,-,-,colocalized puncta,782,35.21675192,80.59782609,138.8721228,101.8394618
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0002-1.tif (RGB),P42-65 V1,red channel puncta,2510,15.65657371,57.02111554,84.44262948,67.26539828,green channel puncta,4338,9.453434763,86.06823421,137.0763024,106.8751541,blue channel puncta,-,-,-,-,-,colocalized puncta,716,24.55865922,71.01606145,122.1403631,90.07824671
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0002-2.tif (RGB),P42-65 V1,red channel puncta,2721,16.08820287,55.99522234,82.82212422,66.00380934,green channel puncta,3246,8.311460259,91.67991374,141.6173752,112.354792,blue channel puncta,-,-,-,-,-,colocalized puncta,536,24.16604478,73.30410448,122.8768657,91.96616693
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0002-3.tif (RGB),P42-65 V1,red channel puncta,2395,15.39665971,61.12442589,88.61920668,71.48608309,green channel puncta,4940,10.19412955,76.51720648,123.7016194,95.12550814,blue channel puncta,-,-,-,-,-,colocalized puncta,774,22.77390181,68.49806202,116.7241602,86.08567763
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0002-4.tif (RGB),P42-65 V1,red channel puncta,2455,16.85417515,65.07698574,94.6496945,76.10416315,green channel puncta,4232,9.55600189,80.87405482,127.6585539,99.64376092,blue channel puncta,-,-,-,-,-,colocalized puncta,746,23.43967828,72.6689008,122.0040214,90.99677359
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0002-5.tif (RGB),P42-65 V1,red channel puncta,2614,17.71537873,71.16029074,103.0455241,83.01569842,green channel puncta,5378,10.99981406,75.19784306,121.0541093,93.25318161,blue channel puncta,-,-,-,-,-,colocalized puncta,977,26.17093142,72.69242579,122.6724667,90.97868699
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0003-1.tif (RGB),P42-65 V1,red channel puncta,2144,16.55317164,66.23274254,100.4281716,79.23705334,green channel puncta,4217,9.655205122,88.31373014,152.3246384,115.5608358,blue channel puncta,-,-,-,-,-,colocalized puncta,793,23.10088272,76.36191677,136.8984868,100.1522047
20230921_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0003-2.tif (RGB),P42-65 V1,red channel puncta,2337,17.09413778,64.22507488,97.40778776,76.67386586,green channel puncta,3983,8.845342707,86.57519458,147.7105197,112.3138262,blue channel puncta,-,-,-,-,-,colocalized puncta,762,21.95734908,74.6515748,133.351706,97.30499015
