Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0001-1.tif (RGB),P21-42-V1,red channel puncta,2354,21.04587935,70.19413764,108.5135939,84.48016552,green channel puncta,5453,10.46744911,91.45827985,147.4333394,114.4461056,blue channel puncta,-,-,-,-,-,colocalized puncta,1069,40.38727783,80.02853134,141.6665108,102.6244802
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0001-2.tif (RGB),P21-42-V1,red channel puncta,2193,18.32193342,74.26174191,112.5699954,88.91114922,green channel puncta,4171,9.180771997,105.3373292,159.1450491,128.9368855,blue channel puncta,-,-,-,-,-,colocalized puncta,713,34.36255259,89.11500701,147.2201964,112.1276541
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0001-3.tif (RGB),P21-42-V1,red channel puncta,2266,18.35789938,78.38481906,117.9894086,93.62174848,green channel puncta,5513,10.25394522,96.42027934,149.5755487,118.8261772,blue channel puncta,-,-,-,-,-,colocalized puncta,940,29.27978723,86.73351064,145.656383,109.6576836
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0001-4.tif (RGB),P21-42-V1,red channel puncta,2376,18.79250842,86.36321549,127.4970539,102.4317105,green channel puncta,4862,9.808515014,103.6639243,155.8305224,126.4853184,blue channel puncta,-,-,-,-,-,colocalized puncta,880,26.16079545,94.41590909,154.3619318,118.5780992
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0001-5.tif (RGB),P21-42-V1,red channel puncta,2372,18.09485666,98.6703204,140.9763912,115.8411891,green channel puncta,4649,9.836523984,103.5908798,154.0118305,125.6066854,blue channel puncta,-,-,-,-,-,colocalized puncta,901,24.52053274,100.5948946,158.9883463,125.220698
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0002-1.tif (RGB),P21-42-V1,red channel puncta,2649,19.08569271,71.24499811,110.394111,86.02506263,green channel puncta,4721,10.17199746,109.332133,162.9932218,133.8660865,blue channel puncta,-,-,-,-,-,colocalized puncta,883,33.82559456,89.52265006,149.617214,113.7097928
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0002-2.tif (RGB),P21-42-V1,red channel puncta,2637,18.3568449,73.35343193,112.8809253,88.27456495,green channel puncta,4540,10.069163,110.3493392,163.0193833,134.3507489,blue channel puncta,-,-,-,-,-,colocalized puncta,843,27.8054567,91.10498221,149.7372479,114.8817779
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0002-3.tif (RGB),P21-42-V1,red channel puncta,3083,20.87317548,74.25819007,116.3532274,90.07532303,green channel puncta,4240,9.802358491,116.3417453,166.5804245,140.1136016,blue channel puncta,-,-,-,-,-,colocalized puncta,954,30.69968553,94.80398323,154.6892034,119.2450296
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0002-4.tif (RGB),P21-42-V1,red channel puncta,2726,18.23807777,89.67424798,134.1819516,107.3754237,green channel puncta,4249,9.691692163,119.3156037,167.3101906,142.2605201,blue channel puncta,-,-,-,-,-,colocalized puncta,835,25.2257485,103.797006,161.9125749,128.8815536
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0002-5.tif (RGB),P21-42-V1,red channel puncta,2787,18.93936132,100.6950126,146.4054539,119.3745718,green channel puncta,3763,9.794313048,119.2941802,166.1995748,141.5848342,blue channel puncta,-,-,-,-,-,colocalized puncta,780,26.04807692,109.2576923,166.8358974,134.5940637
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0003-1.tif (RGB),P21-42-V1,red channel puncta,2965,21.76728499,73.22023609,113.641484,88.369818,green channel puncta,5019,10.42040247,115.8846384,168.1109783,141.0695131,blue channel puncta,-,-,-,-,-,colocalized puncta,1144,37.60183566,93.71896853,152.4479895,118.0411038
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0003-2.tif (RGB),P21-42-V1,red channel puncta,2855,20.52924694,80.36357268,122.4196147,96.51446186,green channel puncta,4887,10.05238388,117.1237978,167.9476161,141.5855666,blue channel puncta,-,-,-,-,-,colocalized puncta,1008,34.63343254,98.04712302,155.7574405,122.4143129
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0003-3.tif (RGB),P21-42-V1,red channel puncta,2807,21.34841468,89.56644104,134.3031706,107.1366904,green channel puncta,4708,10.02145285,120.0067969,168.9675021,143.9527188,blue channel puncta,-,-,-,-,-,colocalized puncta,1001,36.18881119,103.8666334,163.3401598,129.6441155
20230914_GB2 CONTROL-P21-ROI-P42-VG1647-PSD95488-L1-V1_0003-4.tif (RGB),P21-42-V1,red channel puncta,699,12.36337625,163.379113,191.167382,179.0895707,green channel puncta,4458,10.25257963,118.8353522,167.747869,142.6816991,blue channel puncta,-,-,-,-,-,colocalized puncta,243,17.24279835,139.7283951,183.1337449,163.0463824
