Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0016-3.tif (RGB),Vamp2 Inhi-2,red channel puncta,3100,17.06290323,48.54741935,95.39774194,65.65994085,green channel puncta,3460,12.71358382,52.34508671,106.7950867,72.4736016,blue channel puncta,-,-,-,-,-,colocalized puncta,1164,21.90850515,49.895189,108.9385739,70.21197503
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0016-4.tif (RGB),Vamp2 Inhi-2,red channel puncta,2528,14.82080696,52.89042722,98.78876582,70.00156488,green channel puncta,3180,12.05062893,51.32327044,103.136478,70.59375915,blue channel puncta,-,-,-,-,-,colocalized puncta,793,20.81210593,51.41677175,111.1254729,72.20328621
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0016-5.tif (RGB),Vamp2 Inhi-2,red channel puncta,2913,17.08582218,46.46103673,91.01716444,62.56820998,green channel puncta,3109,11.55741396,49.23190737,98.16146671,67.56793947,blue channel puncta,-,-,-,-,-,colocalized puncta,940,22.46702128,47.35585106,103.4994681,66.50489848
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0017-1.tif (RGB),Vamp2 Inhi-2,red channel puncta,3035,22.68072488,55.4062603,105.739374,73.34661884,green channel puncta,3761,16.8396703,74.89843127,140.8564212,101.0230467,blue channel puncta,-,-,-,-,-,colocalized puncta,1431,36.82424878,64.48602376,134.1726066,89.05653082
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0017-2.tif (RGB),Vamp2 Inhi-2,red channel puncta,2758,20.35532995,52.50145033,99.29042785,69.29445514,green channel puncta,3785,13.67186262,57.3659181,113.802642,78.18638129,blue channel puncta,-,-,-,-,-,colocalized puncta,1216,30.74259868,54.28865132,116.2249178,75.16941298
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0017-3.tif (RGB),Vamp2 Inhi-2,red channel puncta,2318,19.0742019,55.7161346,102.3097498,73.09248264,green channel puncta,3273,11.9278949,56.58661778,109.3269172,76.40522398,blue channel puncta,-,-,-,-,-,colocalized puncta,796,41.23492462,55.56092965,115.303392,76.48716486
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0017-4.tif (RGB),Vamp2 Inhi-2,red channel puncta,2690,22.2605948,48.3197026,90.78884758,63.49375705,green channel puncta,3509,13.47192932,46.85408948,93.89256198,63.83675126,blue channel puncta,-,-,-,-,-,colocalized puncta,1068,98.13389513,47.11423221,101.446161,64.94740543
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0017-5.tif (RGB),Vamp2 Inhi-2,red channel puncta,2562,22.11436378,48.35714286,89.5214676,63.14236522,green channel puncta,3586,13.70998327,43.82459565,89.06079197,60.03016721,blue channel puncta,-,-,-,-,-,colocalized puncta,1068,129.9311798,45.68164794,99.64747191,63.16492743
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1-1.tif (RGB),Vamp2 Inhi-2,red channel puncta,2371,17.67819485,57.52720371,100.0948967,73.19698156,green channel puncta,2870,14.328223,55.90522648,110.5891986,75.89372814,blue channel puncta,-,-,-,-,-,colocalized puncta,866,25.15762125,56.22575058,114.8008083,76.41739517
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1-2.tif (RGB),Vamp2 Inhi-2,red channel puncta,2648,18.53927492,48.23489426,87.97696375,62.48623645,green channel puncta,2904,13.34090909,43.61673554,89.82403581,60.15473068,blue channel puncta,-,-,-,-,-,colocalized puncta,1001,24.94555445,45.52947053,96.89260739,62.73073631
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1-3.tif (RGB),Vamp2 Inhi-2,red channel puncta,2110,15.56872038,52.52606635,92.79146919,67.36273008,green channel puncta,3257,15.30457476,36.23917716,79.41817624,50.95837417,blue channel puncta,-,-,-,-,-,colocalized puncta,863,22.64426419,44.07705678,93.67497103,60.33877292
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1-4.tif (RGB),Vamp2 Inhi-2,red channel puncta,2379,17.06977722,47.24884405,86.65910046,61.55085265,green channel puncta,2915,13.20308748,37.41132075,78.63567753,52.14366921,blue channel puncta,-,-,-,-,-,colocalized puncta,780,22.51987179,41.95,90.46217949,58.25517114
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1-5.tif (RGB),Vamp2 Inhi-2,red channel puncta,2460,16.63943089,45.23373984,83.22804878,59.03093286,green channel puncta,2779,12.49550198,36.54444045,75.51349406,50.64550083,blue channel puncta,-,-,-,-,-,colocalized puncta,728,22.1146978,40.54945055,86.7081044,56.18140593
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0001-1.tif (RGB),Vamp2 Inhi-2,red channel puncta,1061,11.83411876,58.22997172,102.539114,76.03307655,green channel puncta,1980,13.33585859,67.81717172,125.0853535,90.61563789,blue channel puncta,-,-,-,-,-,colocalized puncta,198,51.97222222,62.11363636,120.459596,84.01309491
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0001-2.tif (RGB),Vamp2 Inhi-2,red channel puncta,1376,12.07776163,46.81540698,83.82630814,61.23584061,green channel puncta,1764,11.99263039,56.77947846,105.021542,75.82059795,blue channel puncta,-,-,-,-,-,colocalized puncta,218,57.44724771,51.09174312,103.8577982,70.43793956
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0001-3.tif (RGB),Vamp2 Inhi-2,red channel puncta,1937,14.15436242,37.25606608,70.2338668,49.53078219,green channel puncta,2142,13.27637722,43.92110177,84.37254902,59.2179392,blue channel puncta,-,-,-,-,-,colocalized puncta,404,59.34777228,40.03589109,84.23267327,55.39937885
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0001-4.tif (RGB),Vamp2 Inhi-2,red channel puncta,2873,18.84371737,27.76192134,57.82387748,38.0593141,green channel puncta,2473,13.10796603,37.57824505,73.51637687,50.90796715,blue channel puncta,-,-,-,-,-,colocalized puncta,711,39.45780591,32.35794655,73.17299578,45.73452183
