Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0012-3.tif (RGB),Vamp2 Inhi-3,red channel puncta,2060,17.13398058,42.09514563,72.27718447,53.16677171,green channel puncta,2669,12.15024354,42.96927688,88.89921319,60.32292826,blue channel puncta,-,-,-,-,-,colocalized puncta,760,24.61578947,42.125,92.82631579,59.91857933
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0012-4.tif (RGB),Vamp2 Inhi-3,red channel puncta,1242,15.86392915,52.35185185,85.55233494,64.95744862,green channel puncta,2017,10.39910759,51.70649479,98.00892414,70.11623973,blue channel puncta,-,-,-,-,-,colocalized puncta,420,21.38928571,51.525,102.1821429,70.15492511
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0012-5.tif (RGB),Vamp2 Inhi-3,red channel puncta,1636,18.68581907,45.10635697,77.31968215,57.00052203,green channel puncta,2915,13.36500858,36.55060034,77.37838765,51.52814027,blue channel puncta,-,-,-,-,-,colocalized puncta,736,26.87771739,40.49388587,89.03532609,57.09691558
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0013-1.tif (RGB),Vamp2 Inhi-3,red channel puncta,1793,16.13775795,38.96040156,67.02900167,49.31931023,green channel puncta,2550,12.16588235,56.63215686,112.3305882,78.3817301,blue channel puncta,-,-,-,-,-,colocalized puncta,535,22.71775701,47.38224299,101.1252336,66.86480964
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0013-2.tif (RGB),Vamp2 Inhi-3,red channel puncta,2043,16.53793441,33.76603035,58.0988742,42.63591987,green channel puncta,2435,11.82915811,47.29979466,94.70061602,65.44001722,blue channel puncta,-,-,-,-,-,colocalized puncta,602,23.53405316,40.14036545,87.33222591,56.62529459
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0013-3.tif (RGB),Vamp2 Inhi-3,red channel puncta,1753,15.31488876,35.9098688,60.46320593,44.98710936,green channel puncta,2469,12.09599028,41.8072094,85.99797489,58.51397454,blue channel puncta,-,-,-,-,-,colocalized puncta,554,21.12274368,38.63086643,82.19945848,54.10996076
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0013-4.tif (RGB),Vamp2 Inhi-3,red channel puncta,1622,15.24722565,36.91800247,61.3458693,46.0534939,green channel puncta,3017,13.65959562,33.29797812,71.39575737,47.1335414,blue channel puncta,-,-,-,-,-,colocalized puncta,602,22.61046512,34.7948505,76.46096346,49.01879191
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0013-5.tif (RGB),Vamp2 Inhi-3,red channel puncta,2312,18.30276817,31.68252595,55.36721453,40.15675126,green channel puncta,2730,12.94688645,34.45787546,72.39230769,48.38771285,blue channel puncta,-,-,-,-,-,colocalized puncta,780,25.90320513,32.78012821,73.22371795,46.4629898
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0014-1.tif (RGB),Vamp2 Inhi-3,red channel puncta,2044,16.9202544,38.8683953,64.97798434,48.40751805,green channel puncta,3417,16.07140767,55.27421715,116.1006731,77.98230444,blue channel puncta,-,-,-,-,-,colocalized puncta,877,26.12827822,46.68015964,99.31870011,65.08640688
20231130_GB2_VAMP2TRAP_C9_P21-42_GEP488_VGT647_L23_V1_0014-2.tif (RGB),Vamp2 Inhi-3,red channel puncta,1436,13.65250696,41.00139276,65.75139276,50.37307087,green channel puncta,2534,11.84175217,53.45343331,104.3713496,72.95155564,blue channel puncta,-,-,-,-,-,colocalized puncta,414,19.62439614,46.82004831,93.86352657,63.79690213
