Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0001-1.tif (RGB),Vamp2 Inhi,red channel puncta,2222,17.37893789,69.01485149,116.4563456,87.08057802,green channel puncta,3417,15.82967515,81.03775241,146.9850746,107.9624411,blue channel puncta,-,-,-,-,-,colocalized puncta,928,26.43857759,74.24030172,138.9994612,98.46280583
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0001-2.tif (RGB),Vamp2 Inhi,red channel puncta,2441,17.01269971,56.55551004,100.2232692,72.79896615,green channel puncta,3896,14.79722793,52.92274127,105.5600616,71.80842045,blue channel puncta,-,-,-,-,-,colocalized puncta,1046,25.89818356,54.12762906,110.5568834,72.99446357
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0001-3.tif (RGB),Vamp2 Inhi,red channel puncta,2435,15.53264887,54.65338809,96.02669405,70.00832356,green channel puncta,3455,12.53835022,51.16410999,99.49377713,68.99681901,blue channel puncta,-,-,-,-,-,colocalized puncta,821,21.14311815,52.31912302,104.861754,70.51289855
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0001-4.tif (RGB),Vamp2 Inhi,red channel puncta,2750,16.66981818,50.54472727,92.39018182,65.84977529,green channel puncta,3655,12.80957592,48.0125855,95.70478796,65.52665581,blue channel puncta,-,-,-,-,-,colocalized puncta,975,22.96666667,48.77692308,102.0907692,67.05729309
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0001-5.tif (RGB),Vamp2 Inhi,red channel puncta,2855,17.5117338,48.49982487,90.98003503,63.75656822,green channel puncta,2507,10.39569206,57.91144795,106.5157559,76.7227131,blue channel puncta,-,-,-,-,-,colocalized puncta,733,21.7053206,52.6473397,105.0709413,71.10579996
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0002-1.tif (RGB),Vamp2 Inhi,red channel puncta,3384,25.69946809,48.01832151,90.1001773,62.44784737,green channel puncta,3725,19.36483221,59.87463087,117.2504698,80.08787923,blue channel puncta,-,-,-,-,-,colocalized puncta,1703,44.6876101,53.48649442,115.4979448,73.00052656
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0002-2.tif (RGB),Vamp2 Inhi,red channel puncta,2006,14.84845464,59.76869392,102.5443669,75.97809759,green channel puncta,2793,11.75868242,58.47153598,106.641962,76.70598622,blue channel puncta,-,-,-,-,-,colocalized puncta,625,20.5336,58.472,110.9704,77.21115497
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0002-3.tif (RGB),Vamp2 Inhi,red channel puncta,2165,14.25127021,57.84295612,99.39676674,73.58353567,green channel puncta,2951,11.46526601,55.37139953,103.2714334,73.56329924,blue channel puncta,-,-,-,-,-,colocalized puncta,641,19.95553822,55.79563183,107.3322933,74.11156822
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0002-4.tif (RGB),Vamp2 Inhi,red channel puncta,2906,18.48141776,48.33000688,91.33620096,63.73699225,green channel puncta,3333,12.53015302,51.2190219,98.28832883,68.66279926,blue channel puncta,-,-,-,-,-,colocalized puncta,1018,24.89341847,49.31139489,103.5761297,67.66133037
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0002-5.tif (RGB),Vamp2 Inhi,red channel puncta,2886,18.07449757,48.37837838,91.21205821,63.68466508,green channel puncta,2856,11.1144958,55.60189076,102.8382353,73.61757679,blue channel puncta,-,-,-,-,-,colocalized puncta,869,23.27330265,51.53797468,104.0719217,69.72978562
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0003-1.tif (RGB),Vamp2 Inhi,red channel puncta,2585,21.98646035,66.84216634,119.2765957,86.57576187,green channel puncta,3530,18.73229462,86.22549575,146.3475921,112.3241126,blue channel puncta,-,-,-,-,-,colocalized puncta,1115,45.84394619,75.71748879,141.1780269,100.7941573
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0003-2.tif (RGB),Vamp2 Inhi,red channel puncta,2826,21.52335456,56.51627742,102.6298655,73.10962948,green channel puncta,3356,14.56317044,67.74612634,126.8706794,90.76289012,blue channel puncta,-,-,-,-,-,colocalized puncta,1030,39.43300971,61.47427184,124.7495146,83.49985747
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0003-3.tif (RGB),Vamp2 Inhi,red channel puncta,2361,18.14485388,59.76238882,105.0436256,76.52017151,green channel puncta,3386,14.49320732,58.20466627,112.8532191,78.67937385,blue channel puncta,-,-,-,-,-,colocalized puncta,823,27.32989064,58.41069259,116.3481166,78.22087766
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0003-4.tif (RGB),Vamp2 Inhi,red channel puncta,2772,21.48917749,52.46464646,94.27489177,67.41032349,green channel puncta,3341,14.18407662,55.23076923,108.5902424,75.10415622,blue channel puncta,-,-,-,-,-,colocalized puncta,986,31.5010142,53.26825558,111.1394523,72.82548405
20231130_GB2_CONTROL_C9_P21-42_GEP488_VGT647_L23_V1_0003-5.tif (RGB),Vamp2 Inhi,red channel puncta,2751,22.76663032,51.29189386,92.51145038,65.74408015,green channel puncta,3221,13.68022353,52.11145607,102.9056194,70.81005185,blue channel puncta,-,-,-,-,-,colocalized puncta,966,35.03985507,51.16563147,107.686853,69.80964235
