Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0001-1.tif (RGB),V2 Vglut1 PSD95,red channel puncta,1976,30.00404858,73.58451417,96.14676113,81.80161249,green channel puncta,3946,12.91611759,88.04156107,131.1979219,105.7459615,blue channel puncta,-,-,-,-,-,colocalized puncta,981,67.25433231,80.25229358,125.7711519,96.53592487
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0001-2.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2306,30.12489159,77.65047702,102.442758,86.76729217,green channel puncta,3415,12.14992679,88.87701318,130.9238653,106.084966,blue channel puncta,-,-,-,-,-,colocalized puncta,974,69.19712526,82.83983573,128.9527721,99.45155299
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0001-3.tif (RGB),V2 Vglut1 PSD95,red channel puncta,1963,21.80896587,91.80183393,117.1951095,101.4527434,green channel puncta,3345,11.70403587,89.9387145,130.8857997,106.7638406,blue channel puncta,-,-,-,-,-,colocalized puncta,751,37.76697736,90.42876165,135.0226365,107.1353109
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0001-4.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2527,23.58488326,92.80807281,119.4922833,102.9061822,green channel puncta,3741,12.91980754,87.81261695,130.7981823,105.4010731,blue channel puncta,-,-,-,-,-,colocalized puncta,1032,44.8250969,89.90939922,138.2989341,107.8344392
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0001-5.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2281,22.35598422,96.87812363,124.8917142,107.5234512,green channel puncta,4723,14.53080669,89.93266991,152.0808808,117.624935,blue channel puncta,-,-,-,-,-,colocalized puncta,1191,39.66582704,92.63937867,150.3513854,115.9579535
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0002-1.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2105,27.39572447,76.62280285,99.57054632,85.10742468,green channel puncta,3291,12.89334549,97.28501975,139.8106958,116.5649751,blue channel puncta,-,-,-,-,-,colocalized puncta,741,73.39136302,86.49392713,131.5155196,104.2444811
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0002-2.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2490,31.7437751,77.63413655,103.0305221,86.83781475,green channel puncta,4046,14.23381117,84.6576866,128.0494315,102.8491348,blue channel puncta,-,-,-,-,-,colocalized puncta,1073,77.97390494,80.69384902,129.3205965,98.27052773
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0002-3.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2378,28.77880572,85.71026072,112.7510513,95.63346989,green channel puncta,3832,13.80427975,85.59864301,129.5467119,104.0870859,blue channel puncta,-,-,-,-,-,colocalized puncta,1062,68.47928437,85.2693032,134.933145,103.7331592
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0002-4.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2257,25.05050953,92.87461232,120.838724,103.3673848,green channel puncta,3979,15.02060819,90.18874089,143.6705202,113.4465387,blue channel puncta,-,-,-,-,-,colocalized puncta,1079,43.87534754,91.0755329,144.4726599,112.110341
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0002-5.tif (RGB),V2 Vglut1 PSD95,red channel puncta,2207,22.45944721,83.87403715,111.0407793,94.12937273,green channel puncta,4076,13.53312071,94.70117763,164.8236016,127.3727203,blue channel puncta,-,-,-,-,-,colocalized puncta,1090,33.54311927,88.67614679,147.5766055,113.8367633
