Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0015-5.tif (RGB),Vamp2 Vglu1 Psd95-2,red channel puncta,2828,24.36916549,130.4731259,167.54314,146.8851006,green channel puncta,3378,11.82356424,116.6595619,177.1941978,147.943525,blue channel puncta,-,-,-,-,-,colocalized puncta,956,34.21757322,122.7719665,178.8211297,150.4863742
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0016-1.tif (RGB),Vamp2 Vglu1 Psd95-2,red channel puncta,2343,27.71361502,73.79385403,100.0900555,83.55464687,green channel puncta,3787,12.16318986,109.9672564,146.9170848,128.5766366,blue channel puncta,-,-,-,-,-,colocalized puncta,914,150.3796499,91.33862144,136.1291028,109.0312347
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0016-2.tif (RGB),Vamp2 Vglu1 Psd95-2,red channel puncta,2496,26.95833333,85.86658654,115.9775641,97.14984871,green channel puncta,3803,11.65790166,102.7546674,145.1830134,122.4568824,blue channel puncta,-,-,-,-,-,colocalized puncta,947,93.42238648,93.60823654,143.24868,112.8963758
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0016-3.tif (RGB),Vamp2 Vglu1 Psd95-2,red channel puncta,3109,27.98520425,93.03377292,127.0707623,105.8688131,green channel puncta,3723,11.98415257,100.6150954,144.4735428,120.3543957,blue channel puncta,-,-,-,-,-,colocalized puncta,1131,58.54597701,96.24270557,148.0499558,116.4223735
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0016-4.tif (RGB),Vamp2 Vglu1 Psd95-2,red channel puncta,3237,27.21964782,106.1226444,142.2072907,120.1196687,green channel puncta,3748,12.29722519,98.35512273,143.2355923,118.0084591,blue channel puncta,-,-,-,-,-,colocalized puncta,1193,51.59932942,101.7694887,153.8491199,122.6373951
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0016-5.tif (RGB),Vamp2 Vglu1 Psd95-2,red channel puncta,2787,20.93505562,124.4470757,160.0251166,139.2591679,green channel puncta,4359,13.69236063,99.73916036,153.4244093,124.4809225,blue channel puncta,-,-,-,-,-,colocalized puncta,1125,31.99955556,111.4293333,165.4782222,135.0726735
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0017-1.tif (RGB),Vamp2 Vglu1 Psd95-2,red channel puncta,2186,27.60612992,62.70539799,88.4652333,72.08291393,green channel puncta,4085,16.9995104,87.91187271,137.244798,108.8862807,blue channel puncta,-,-,-,-,-,colocalized puncta,1170,89.54957265,74.82264957,127.7709402,94.40499097
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0017-2.tif (RGB),Vamp2 Vglu1 Psd95-2,red channel puncta,2299,24.97912136,70.82601131,98.16398434,81.09886496,green channel puncta,3770,15.01724138,85.95119363,134.2984085,106.1472683,blue channel puncta,-,-,-,-,-,colocalized puncta,1129,64.1656333,77.89105403,130.8697963,97.57886172
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0017-3.tif (RGB),Vamp2 Vglu1 Psd95-2,red channel puncta,2223,21.86639676,87.08502024,118.1560954,99.03784168,green channel puncta,3454,14.24261726,95.45888825,145.7964679,117.3316892,blue channel puncta,-,-,-,-,-,colocalized puncta,997,39.83701103,90.62838516,144.7963892,112.1202991
20231207_GB2_CONTROL_C9_P21-42_PSD95488_VGT1647_L1_V1_0017-4.tif (RGB),Vamp2 Vglu1 Psd95-2,red channel puncta,2794,21.01503221,100.1821761,134.8324982,113.6280488,green channel puncta,4829,15.80720646,99.9977221,157.486229,125.8377471,blue channel puncta,-,-,-,-,-,colocalized puncta,1599,35.42995622,99.39149468,156.8139462,123.1260363
