Image name,Condition,Channel Name,Num puncta,Area average,Min intensity average,Max intensity average,Mean intensity average,...,,,,,,,,,,,,,,,,,
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0012-2.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3098,25.03292447,114.4096191,154.24306,131.1270322,green channel puncta,3875,11.57780645,135.788129,178.7837419,160.1034883,blue channel puncta,-,-,-,-,-,colocalized puncta,1116,38.65546595,124.2643369,174.9986559,149.636306
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0012-3.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3145,26.4772655,104.1879173,144.4696343,120.2777237,green channel puncta,5011,13.26062662,108.6084614,167.4398324,136.7383699,blue channel puncta,-,-,-,-,-,colocalized puncta,1540,39.48766234,105.5597403,167.1266234,132.6697592
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0012-4.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,2754,22.6503268,104.2665214,142.8326071,119.9267361,green channel puncta,4033,12.30399207,109.4039177,168.848004,137.6385124,blue channel puncta,-,-,-,-,-,colocalized puncta,1048,32.27480916,105.9584924,166.1660305,132.6235377
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0012-5.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3216,26.84639303,93.03109453,131.0264303,107.542798,green channel puncta,4298,12.80432759,100.032806,161.5283853,127.6564227,blue channel puncta,-,-,-,-,-,colocalized puncta,1421,40.72800844,95.84447572,159.3895144,121.793045
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0013-1.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3397,34.47041507,141.5604946,165.6679423,154.8385859,green channel puncta,4032,11.38665675,155.6994048,173.6527778,167.598625,blue channel puncta,-,-,-,-,-,colocalized puncta,1397,67.56764495,147.8647101,171.567645,162.6948612
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0013-2.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,2990,27.6826087,130.7468227,163.9016722,146.8726627,green channel puncta,4797,11.80466959,129.8344799,173.9189077,154.3304896,blue channel puncta,-,-,-,-,-,colocalized puncta,1305,54.92298851,129.1697318,173.3145594,153.1351743
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0013-3.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,2865,26.51832461,116.4973822,154.5535777,133.1904621,green channel puncta,5617,12.67313513,109.8257077,166.741143,137.94502,blue channel puncta,-,-,-,-,-,colocalized puncta,1511,52.9900728,112.2154203,169.1260754,139.1150277
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0013-4.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3252,30.78874539,104.3158057,143.6672817,120.2300974,green channel puncta,5785,13.25410545,99.18962835,159.3757995,126.7707207,blue channel puncta,-,-,-,-,-,colocalized puncta,1869,65.33921883,100.8287854,163.2750134,127.4625656
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0013-5.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3399,33.9861724,102.1879965,141.7984701,118.0608816,green channel puncta,5480,13.72536496,101.1813869,162.0828467,129.2795854,blue channel puncta,-,-,-,-,-,colocalized puncta,1989,73.59477124,100.7443439,163.1857717,127.3833398
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0014-1.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3045,24.45484401,127.6893268,164.7297209,144.972805,green channel puncta,3969,12.81960191,151.2355757,169.2035777,163.315762,blue channel puncta,-,-,-,-,-,colocalized puncta,1217,39.38948233,138.7033689,171.4387839,156.8691354
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0014-2.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,2974,23.06691325,125.635844,162.6012105,142.7643996,green channel puncta,3828,12.37722048,142.6690178,177.0094044,163.7742461,blue channel puncta,-,-,-,-,-,colocalized puncta,1061,34.91611687,133.1668238,175.2912347,156.5807361
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0014-3.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3243,23.85815603,124.5997533,160.8738822,141.2414546,green channel puncta,3824,12.2667364,143.4497908,178.9121339,164.9645112,blue channel puncta,-,-,-,-,-,colocalized puncta,1176,44.20663265,133.1109694,175.4719388,156.2869705
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0014-4.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,4078,49.23761648,100.0936734,143.7344286,117.5730488,green channel puncta,6129,16.37330723,108.7216512,165.8921521,136.7853728,blue channel puncta,-,-,-,-,-,colocalized puncta,2970,123.0617845,103.670202,166.2291246,131.5260617
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0014-5.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,2749,22.05383776,141.8246635,169.3132048,156.3086406,green channel puncta,3556,11.9052306,146.5835208,180.8352081,167.309094,blue channel puncta,-,-,-,-,-,colocalized puncta,924,38.91937229,143.1801948,178.5243506,164.1570053
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0015-1.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3332,31.03721489,123.4711885,158.770108,139.9576058,green channel puncta,4928,15.2932224,127.0982143,158.5905032,145.9600316,blue channel puncta,-,-,-,-,-,colocalized puncta,1689,60.20781528,124.5198342,164.7483718,146.4088766
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0015-2.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,2881,27.29468934,133.5959736,165.2644915,149.5387428,green channel puncta,3431,12.33139027,142.0265229,169.0679102,158.857767,blue channel puncta,-,-,-,-,-,colocalized puncta,967,43.95760083,136.8645295,171.2264736,156.9655978
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0015-3.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3359,31.1673117,129.4813933,161.7403989,145.357225,green channel puncta,3870,12.87209302,129.8105943,169.8749354,152.5107085,blue channel puncta,-,-,-,-,-,colocalized puncta,1312,52.37766768,128.8189787,170.7004573,152.2347708
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0015-4.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3368,31.99465558,133.4913895,161.8744062,148.109421,green channel puncta,5237,15.35573802,107.5680733,160.7061295,133.2759137,blue channel puncta,-,-,-,-,-,colocalized puncta,1837,57.89684268,119.7234622,166.6015242,143.6565035
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0015-5.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3490,39.0487106,129.3590258,158.5510029,144.4071789,green channel puncta,4776,14.93613903,109.5079564,162.7497906,135.4297474,blue channel puncta,-,-,-,-,-,colocalized puncta,1912,109.3242678,118.7486925,166.5062762,143.2313279
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0016-1.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3468,27.7272203,123.4769319,161.4723183,140.6944615,green channel puncta,5657,15.61004066,124.7426198,167.7751458,149.0913222,blue channel puncta,-,-,-,-,-,colocalized puncta,1955,52.43248082,123.2258312,170.8360614,148.1673827
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0016-2.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,2712,23.04424779,129.7481563,165.910767,146.7477778,green channel puncta,3098,11.31439638,148.2688832,181.558102,168.4475261,blue channel puncta,-,-,-,-,-,colocalized puncta,806,33.13523573,138.0173697,179.0279156,161.0372388
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0016-3.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,2478,21.78571429,133.7740113,168.6545601,150.6489075,green channel puncta,3905,12.44993598,125.1252241,176.553137,151.9892234,blue channel puncta,-,-,-,-,-,colocalized puncta,977,31.83725691,128.430911,177.9037871,154.5792199
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0016-4.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3703,34.43586281,112.2592493,152.7966514,129.4655075,green channel puncta,7322,27.25730675,67.755941,133.2515706,92.26803119,blue channel puncta,-,-,-,-,-,colocalized puncta,3119,79.71593459,89.22411029,157.9579994,115.1237551
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0016-5.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3410,31.33577713,121.3771261,159.6809384,138.6476255,green channel puncta,4905,14.06911315,100.4256881,160.2148828,126.9646074,blue channel puncta,-,-,-,-,-,colocalized puncta,1789,58.47596423,110.1763555,168.863052,136.9084662
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0017-1.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,2974,28.68224613,130.7185609,166.2985878,148.5441841,green channel puncta,4272,14.60182584,122.9131554,156.8696161,141.8787074,blue channel puncta,-,-,-,-,-,colocalized puncta,1467,60.299591,125.8122018,165.6847307,147.7472341
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0017-2.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,2853,24.86470382,138.9249912,170.2586751,155.4837279,green channel puncta,4302,14.09995351,112.7873082,159.5890284,136.0522201,blue channel puncta,-,-,-,-,-,colocalized puncta,1400,40.7575,124.8617857,168.8828571,148.4559223
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0017-3.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3235,27.35981453,137.8392581,169.3727975,154.5004831,green channel puncta,3987,12.56007023,118.0923,164.6478555,141.3173593,blue channel puncta,-,-,-,-,-,colocalized puncta,1481,47.14989872,127.0027009,170.5455773,150.2115237
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0017-4.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3262,27.80748007,142.7878602,170.1253832,158.047595,green channel puncta,3649,12.5678268,120.0800219,166.8243354,143.3204733,blue channel puncta,-,-,-,-,-,colocalized puncta,1404,49.83689459,130.4027778,171.4095442,152.7005827
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1_0017-5.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,2855,23.14956217,156.6290718,171.6753065,165.851114,green channel puncta,4558,14.23935937,107.3038613,158.5419043,130.8945993,blue channel puncta,-,-,-,-,-,colocalized puncta,1479,36.60987153,131.1091954,168.403313,149.9583545
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1-1.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3289,31.86834904,110.2553968,146.1784737,125.5664342,green channel puncta,4357,12.65641496,115.2302043,161.8717007,139.0503089,blue channel puncta,-,-,-,-,-,colocalized puncta,1536,101.5348307,111.9016927,162.0250651,135.5785367
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1-2.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3175,31.40503937,119.3322835,153.0447244,134.9054399,green channel puncta,4093,12.21768874,107.76301,158.6591742,131.8681323,blue channel puncta,-,-,-,-,-,colocalized puncta,1447,78.35729095,112.7964755,163.8147892,136.8287926
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1-3.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,2794,25.11739442,138.5916249,162.8350036,151.3513096,green channel puncta,5435,14.69622815,89.60515179,144.3333947,112.657343,blue channel puncta,-,-,-,-,-,colocalized puncta,1662,42.85529483,113.3357401,160.5394103,134.6035773
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1-4.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,3358,33.10154854,129.438654,163.7048839,145.6469284,green channel puncta,5482,14.3040861,101.7986136,165.8458592,131.6198212,blue channel puncta,-,-,-,-,-,colocalized puncta,2090,78.03397129,114.6583732,172.1169856,141.7290505
20231207_GB2_VAMP2 TRAP_C9_P21-42_PSD95488_VGT1647_L1_V1-5.tif (RGB),Vamp2 glut1 psd95-3,red channel puncta,2806,35.77369922,87.9383464,125.9597292,101.7782725,green channel puncta,4526,13.52629253,90.1142289,169.166814,125.459726,blue channel puncta,-,-,-,-,-,colocalized puncta,1827,78.24274767,88.34482759,163.790093,118.2527859
